"x","y","binorm","pnorm_x","pnorm_y","pnorm_x_normalized","pnorm_y_normalized","pnorm_xy","binorm_compo","uniform","truex"
-1.46058423369348,-0.260104041616647,8.76254744160148e-35,0.000000000000116229660093542,7.51685338526241e-22,8.36935392045385e-16,6.91863414380514e-24,5.79044977956414e-39,8.76254744160148e-35,0.0000577734126754867,1
-1.46058423369348,-0.240096038415366,3.78784087279781e-34,0.000000000000116229660093542,3.24935695667078e-21,8.36935392045385e-16,2.99076100511816e-23,2.50307373433261e-38,3.78784087279781e-34,0.0000577734126754867,1
-1.46058423369348,-0.220088035214086,1.5989602558539e-33,0.000000000000116229660093542,1.37165018417507e-20,8.36935392045385e-16,1.26248914422041e-22,1.05662184687115e-37,1.5989602558539e-33,0.0000577734126754867,1
-1.46058423369348,-0.200080032012805,6.59125738482218e-33,0.000000000000116229660093542,5.65423647819718e-20,8.36935392045385e-16,5.20425124053925e-22,4.3556220523034e-37,6.59125738482218e-33,0.0000577734126754867,1
-1.46058423369348,-0.180072028811525,2.65328310117401e-32,0.000000000000116229660093542,2.27608925304424e-19,8.36935392045385e-16,2.09494957708425e-21,1.75333744561232e-36,2.65328310117401e-32,0.0000577734126754867,1
-1.46058423369348,-0.160064025610244,1.04299850895627e-31,0.000000000000116229660093542,8.94724613489651e-19,8.36935392045385e-16,8.2351909009281e-21,6.89232272523685e-36,1.04299850895627e-31,0.0000577734126754867,1
-1.46058423369348,-0.140056022408964,4.00376536476165e-31,0.000000000000116229660093542,3.43458536875032e-18,8.36935392045385e-16,3.16124824898656e-20,2.64576054261836e-35,4.00376536476164e-31,0.0000577734126754867,1
-1.46058423369348,-0.120048019207683,1.5008539763727e-30,0.000000000000116229660093542,1.28749080883947e-17,8.36935392045385e-16,1.18502748601383e-19,9.91791443591538e-35,1.5008539763727e-30,0.0000577734126754867,1
-1.46058423369348,-0.100040016006403,5.4940576142472e-30,0.000000000000116229660093542,4.71301591822628e-17,8.36935392045385e-16,4.3379365248853e-19,3.63057260612287e-34,5.49405761424719e-30,0.0000577734126754867,1
-1.46058423369348,-0.0800320128051221,1.96396155191796e-29,0.000000000000116229660093542,1.68476246644568e-16,8.36935392045385e-16,1.55068278269279e-18,1.29782130267102e-33,1.96396155191796e-29,0.0000577734126754867,1
-1.46058423369348,-0.0600240096038416,6.8557948112473e-29,0.000000000000116229660093542,5.88116695276576e-16,8.36935392045385e-16,5.41312174115302e-18,4.5304331666213e-33,6.8557948112473e-29,0.0000577734126754867,1
-1.46058423369348,-0.0400160064025611,2.33704864411875e-28,0.000000000000116229660093542,2.0048110585586e-15,8.36935392045385e-16,1.84526071358746e-17,1.54436399875227e-32,2.33704864411875e-28,0.0000577734126754867,1
-1.46058423369348,-0.0200080032012806,7.77970013610928e-28,0.000000000000116229660093542,6.67372880936456e-15,8.36935392045385e-16,6.14260856776759e-17,5.14096650984591e-32,7.77970013610928e-28,0.0000577734126754867,1
-1.46058423369348,-1.11022302462516e-16,7.77970013610928e-28,0.000000000000116229660093542,6.67372880936456e-15,8.36935392045385e-16,6.14260856776759e-17,5.14096650984591e-32,7.77970013610928e-28,0.0000577734126754867,1
-1.46058423369348,0.0200080032012805,2.52896710458255e-27,0.000000000000116229660093542,0.0000000000000216944616482719,8.36935392045385e-16,1.99679354376506e-16,1.6711871873847e-31,2.52896710458255e-27,0.0000577734126754867,1
-1.46058423369348,0.040016006402561,8.02802602052198e-27,0.000000000000116229660093542,0.0000000000000688675239381145,8.36935392045385e-16,6.33867894046897e-16,5.30506474409122e-31,8.02802602052198e-27,0.0000577734126754867,1
-1.46058423369348,0.0600240096038415,2.48862627342897e-26,0.000000000000116229660093542,0.000000000000213484023370476,8.36935392045385e-16,1.96494168177301e-15,1.64452923678101e-30,2.48862627342897e-26,0.0000577734126754867,1
-1.46058423369348,0.0800320128051221,7.53348558027848e-26,0.000000000000116229660093542,0.000000000000646251640454369,8.36935392045385e-16,5.94820523425919e-15,4.97826347970113e-30,7.53348558027848e-26,0.0000577734126754867,1
-1.46058423369348,0.100040016006403,2.22698688274671e-25,0.000000000000116229660093542,0.00000000000191039580670734,8.36935392045385e-16,0.0000000000000175835937978803,1.47163319687958e-29,2.22698688274671e-25,0.0000577734126754867,1
-1.46058423369348,0.120048019207683,6.42872462306852e-25,0.000000000000116229660093542,0.00000000000551480956512808,8.36935392045385e-16,0.0000000000000507592044148222,4.24821746468311e-29,6.42872462306852e-25,0.0000577734126754867,1
-1.46058423369348,0.140056022408964,1.8122474637816e-24,0.000000000000116229660093542,0.0000000000155461623162068,8.36935392045385e-16,0.000000000000143089407087445,1.19756589018272e-28,1.8122474637816e-24,0.0000577734126754867,1
-1.46058423369348,0.160064025610244,4.98879592040745e-24,0.000000000000116229660093542,0.0000000000427958282139063,8.36935392045385e-16,0.000000000000393899765124679,3.29668654351208e-28,4.98879592040745e-24,0.0000577734126754867,1
-1.46058423369348,0.180072028811525,1.34109511850163e-23,0.000000000000116229660093542,0.000000000115044345821259,8.36935392045385e-16,0.00000000000105888687494056,8.86219901810089e-28,1.34109511850163e-23,0.0000577734126754867,1
-1.46058423369348,0.200080032012805,3.52053831565186e-23,0.000000000000116229660093542,0.000000000302005444561874,8.36935392045385e-16,0.00000000000277970724353551,2.32643537163979e-27,3.52053831565186e-23,0.0000577734126754867,1
-1.46058423369348,0.220088035214086,9.0249387444957e-23,0.000000000000116229660093542,0.000000000774194283174686,8.36935392045385e-16,0.0000000000071258101322195,5.9638426966501e-27,9.0249387444957e-23,0.0000577734126754867,1
-1.46058423369348,0.240096038415366,2.25925466240632e-22,0.000000000000116229660093542,0.0000000019380763608368,8.36935392045385e-16,0.0000000000178383701213018,1.49295632909224e-26,2.25925466240632e-22,0.0000577734126754867,1
-1.46058423369348,0.260104041616647,5.52295990197699e-22,0.000000000000116229660093542,0.00000000473780942271930,8.36935392045385e-16,0.0000000000436075686977406,3.64967176041896e-26,5.52295990197699e-22,0.0000577734126754867,1
-1.46058423369348,0.280112044817927,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.300120048019208,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.320128051220488,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.340136054421769,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.360144057623049,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.38015206082433,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.40016006402561,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.420168067226891,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.440176070428171,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.460184073629452,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.480192076830732,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.500200080032013,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.520208083233293,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.540216086434574,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.560224089635854,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.580232092837135,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.600240096038415,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.620248099239696,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.640256102440976,NA,NA,NA,NA,NA,NA,NA,NA,1
-1.46058423369348,0.660264105642257,NA,NA,NA,NA,NA,NA,NA,NA,1
